price,location,city,province_name,latitude,longitude,baths,area_sqft,bedrooms
3200000,50,2,2,25.037472,67.07222,3,762.3,4
97000000,56,2,2,24.895177,67.104263,6,3811.51,5
222500000,52,2,2,24.895196,67.084107,7,6534.02,6
100000000,15,2,2,24.899769,67.120412,6,5445.02,5
8000000,57,2,2,24.894076,67.027715,3,2178.01,3
16000000,63,2,2,24.97466,67.054667,5,1306.8,5
14500000,57,2,2,25.00574,67.316385,4,3811.51,4
140000000,23,2,2,24.810265,67.043552,10,8712.03,9
6642000,59,2,2,25.07576,67.105412,3,1361.25,3
15000000,48,2,2,24.913179,67.121959,5,1633.51,6
16000000,48,2,2,24.907822,67.129209,5,1905.76,5
6500000,64,2,2,24.826386,67.045677,2,871.2,2
92500000,56,2,2,24.893299,67.103462,6,3811.51,5
3900000,65,2,2,24.906445,66.969265,4,598.95,4
21000000,51,2,2,24.954818,67.11663,4,1306.8,4
16500000,66,1,1,33.631486,72.926559,6,2178.01,5
70000000,67,1,1,33.691531,73.005431,6,8167.53,6
43500000,68,1,1,33.70757294,73.15119934,4,10890.04,4
7000000,23,1,1,33.492591,73.301339,3,2178.01,3
34500000,69,1,1,33.623947,73.126588,8,8712.03,8
27000000,70,1,1,33.579034,73.139591,8,5445.02,8
50000000,23,1,1,33.540894,73.095732,7,5445.02,7
59900000,21,1,1,33.49361147,73.12896609,6,8167.53,6
19000000,23,1,1,33.508481,73.091826,3,2722.51,3
80000000,23,1,1,33.541728,73.094103,7,10890.04,7
26900000,71,1,1,33.694495,72.826653,6,5445.02,6
55000000,72,1,1,33.67164,72.991655,7,3811.51,6
4500000,73,1,1,33.737402,73.179159,3,1361.25,3
4500000,74,1,1,33.636132,73.113921,4,1279.58,4
6800000,75,1,1,33.602038,73.141966,4,1089.0,4
20000000,76,1,1,33.569648,73.151522,5,3267.01,6
100000000,77,1,1,33.72402,73.074524,5,4846.07,5
220000000,78,1,1,33.716274,73.05624,10,11434.54,10
4500000,69,1,1,33.61855,73.135471,3,1361.25,2
12500000,79,1,1,33.594496,72.926595,5,2178.01,6
230000000,80,1,1,33.727409,73.047581,4,13612.55,4
38800000,81,1,1,33.518929,73.184692,4,8167.53,5
46500000,82,1,1,33.645957,72.962472,9,2967.54,9
14000000,83,1,1,33.631987,72.880297,6,1905.76,4
32500000,70,1,1,33.579034,73.139591,9,3267.01,7
30000000,21,1,1,33.695973,73.215615,7,2722.51,6
100000000,67,1,1,33.691531,73.005431,6,7623.03,8
21000000,21,1,1,33.55083727,73.10628891,6,2722.51,5
14000000,82,1,1,33.6468948,72.95950011,5,1089.0,5
14500000,69,1,1,33.619335,73.12531,5,1905.76,4
19000000,72,1,1,33.663818,72.99526,5,1524.61,5
850000000,77,1,1,33.735118,73.077486,10,26136.1,9
6500000,23,1,1,33.492591,73.301339,3,2178.01,3
